Etiquetas de fila,3,4,5,7,8,9,10,12,14,15,16,19,21,22,24,27,35,37,40,44,45,46,57,74,83,100,101,103,104,105,119,121,137,155,249,Total general,CONTEO5MAS,ACCIDE5MAS
88,,,,,,11,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,12,0,0
89,,,,1,,14,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,17,0,0
90,,,,,,5,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,7,0,0
91,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6,0,0
92,,,,2,,5,,3,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,12,0,0
93,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7,0,0
94,,,2,7,,29,,5,,,,,,,17,2,,,,4,1,5,,,,,,1,,,,,,,,73,0,0
95,,,,,,12,,,1,,,,,,1,1,,,,1,,,,,,,,1,,,,,,,,17,0,0
96,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7,3,1
97,,,,,,6,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,9,0,0
98,2,,,1,,4,1,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,11,2,1
99,,,1,6,1,24,,2,,,,,,,,4,,,,1,4,1,,,,,,1,,,,,,,,45,0,0
100,,,,,,3,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,6,0,0
101,1,,,1,,5,1,2,,,,,,,,,,,,1,,2,,,,,,1,,,,,,,,14,1,1
102,,,,2,,7,,2,2,,,,,1,,,,,,2,,1,,,,,,1,,,,,,,,18,0,0
103,1,,,1,,4,,3,,,,,,1,1,,,,,1,,,,,,,,1,,,,,,,,13,1,1
104,,,1,,1,9,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,12,0,0
105,,,,1,,3,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,6,0,0
